district_id,population,death_rate,death7_lk,afd_voteshare_2021
01001,89934,0.249335651717463,1,5.423275217442638
01002,246601,0.308897564309844,0,5.017826394495609
01003,215846,0.204749592742598,0,6.6344307153661815
01004,79905,0.360457408021213,0,9.38430362012459
01051,133251,0.261812741553422,0,8.804703780887168
01053,199152,0.272784500244807,0,8.35472481827622
01054,167147,0.294051119656186,0,5.233519422669183
01055,201487,0.233187019909077,0,7.0297597816478765
01056,317085,0.521619037501328,1,6.874441583013612
01057,129353,0.201290628145166,0,6.321461272979128
01058,274765,0.125469000711795,0,6.358555508854835
01059,202647,0.223732897341021,0,5.915951395463472
01060,278007,0.340338053905893,0,7.62460038315767
01061,130706,0.17861903492402,0,7.979446502288572
01062,244989,0.560063186615926,0,6.616487455197133
02000,1852478,0.422936618269934,4,5.0258367609970325
03101,248561,0.397860511685506,1,5.9141097247548355
03102,103866,0.441460255359645,0,13.472299346461064
03103,123840,0.466519014184063,0,9.314724536546395
03151,177227,0.587669081513754,0,10.481902913763195
03153,134688,0.571625162092783,0,9.236021283121525
03154,91518,0.50922298981554,0,9.192200557103064
03155,131772,0.344893657788848,0,8.032665749375733
03157,135844,0.342530922930542,1,9.026496889827381
03158,119361,0.359534526292678,0,7.468626893554807
03159,323900,0.424553523687306,0,6.349654296599408
03241,1155330,0.449899146951296,0,6.685910940289147
03251,218072,0.212293869500904,0,7.017296484301561
03252,148580,0.361823421755685,1,8.880110558049092
03254,275464,0.567799605504692,2,7.611185519908874
03255,70207,0.65740395374860106,0,9.036477987421383
03256,121645,0.512923161608327,0,8.62002662328058
03257,158406,0.368374112993912,0,8.670457739626801
03351,179386,0.278895714184848,0,9.538198066967185
03352,198826,0.407985551183642,0,7.653217049002308
03353,256016,0.255634455078728,0,7.2607034875763645
03354,48503,0.26592022393282,0,7.092574905373378
03355,184235,0.2446739719324,0,6.500541711809317
03356,114640,0.248862953745817,0,7.256515381748329
03357,164486,0.353434945880274,0,7.055484081766015
03358,140885,0.441422094965402,0,8.497742904925373
03359,205357,0.318380891167546,0,7.7492906109534685
03360,92566,0.686458370192138,0,8.568117621496341
03361,137574,0.326790359684389,1,7.788866655895403
03401,77503,0.388440024860162,0,10.205400545112253
03402,49874,0.244761506775715,0,8.103585657370518
03403,169605,0.110554376705123,0,4.298707712568936
03404,164223,0.270115838138279,0,4.454166712468808
03405,75189,0.577779738014378,0,9.264597097160932
03451,125643,0.233310754873184,0,6.270070861753231
03452,190178,0.229885057471264,0,8.226366860496515
03453,172632,0.334156806657132,0,9.54941676358486
03454,328930,0.237526521570878,0,6.093659183130265
03455,98971,0.232321765645419,0,7.402373533116754
03456,137891,0.312162324408693,0,5.159982276407481
03457,171483,0.225018451513024,0,8.851752588154921
03458,131467,0.314996294161245,0,7.105195473251029
03459,359471,0.326660586942547,0,6.2116280523276775
03460,143698,0.149075311159553,0,5.8542132298161
03461,88524,0.604073814873476,0,7.846913479071482
03462,57384,0.324485344965158,0,8.543195089085193
04011,566573,0.335296132218257,0,6.213538523435928
