AGS;Name;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt
9261;Landshut, Stadt;48466;36439;165;36274;0;6497;2987;4419;1188;5759;10709;2383;224;457;22;142;284;40;0;172;0;5;39;0;5;0;0;35;0;31;0;575;37;0;12;0;0;2;0;0;0;131;48;71
9262;Passau, Stadt;37537;27984;118;27866;0;5215;2271;3071;1016;4874;8232;1635;190;262;19;90;355;27;0;89;0;5;23;0;4;0;0;49;0;14;0;267;19;0;4;0;0;5;0;0;0;41;29;60
9263;Straubing, Stadt;33502;22645;136;22509;0;3908;2600;2253;652;2161;7779;1758;219;227;31;64;224;30;0;118;0;2;25;0;3;0;0;14;0;10;0;290;9;0;16;0;0;7;0;0;0;54;31;24
9271;Deggendorf;91554;68743;327;68416;0;10654;9118;6408;1271;5116;23397;8347;405;573;44;210;393;97;0;923;0;9;54;0;4;0;0;37;0;21;0;977;28;0;47;0;0;8;0;0;0;130;87;58
9272;Freyung-Grafenau;63581;49895;188;49707;0;7762;7497;3645;865;2844;16120;8610;193;394;35;109;315;53;0;504;0;3;31;0;2;0;0;23;0;6;0;530;16;0;13;0;0;7;0;0;0;39;55;36
9273;Kelheim;88717;69993;312;69681;0;11600;7891;6551;1322;6055;24181;8193;423;779;59;168;499;60;0;505;0;8;78;0;10;0;0;29;0;19;0;840;28;0;38;0;0;2;0;0;0;171;95;77
9274;Landshut;119636;97317;375;96942;0;13879;9978;10039;1859;8883;32275;14535;449;1089;48;259;705;70;0;641;0;4;106;0;10;0;0;69;0;46;0;1467;35;0;42;0;0;19;0;0;0;160;125;150
9275;Passau;151077;117196;489;116707;0;20134;15048;10436;2242;8327;38620;16089;531;1063;106;275;1013;62;0;750;0;5;113;0;13;0;0;88;0;41;0;1310;61;0;53;0;0;15;0;0;0;101;127;84
9276;Regen;61701;46713;255;46458;0;7100;7364;3669;834;2597;15154;7260;305;467;47;80;304;39;0;361;0;2;36;0;6;0;0;24;0;9;0;496;24;0;47;0;0;7;0;0;0;112;81;33
9277;Rottal-Inn;92030;71495;359;71136;0;10077;8120;6669;1340;5346;23999;11687;315;648;51;178;662;41;0;620;0;8;53;0;11;0;0;28;0;22;0;923;30;0;42;0;0;3;0;0;0;88;95;80
9278;Straubing-Bogen;78569;63597;321;63276;0;8930;7438;5681;982;4206;23809;8851;368;520;82;106;743;42;0;479;0;2;43;0;6;0;0;32;0;17;0;611;8;0;34;0;0;11;0;0;0;109;100;66
9279;Dingolfing-Landau;71637;54230;251;53979;0;7986;7381;5430;964;3539;18906;6859;324;512;45;112;432;41;0;343;0;4;48;0;6;0;0;24;0;26;0;696;16;0;28;0;0;9;0;0;0;91;89;68
9361;Amberg, Stadt;32133;22725;197;22528;0;4799;2604;2125;673;2608;7085;1208;140;292;25;134;173;17;0;129;0;0;33;0;6;0;0;20;0;13;0;275;16;0;8;0;0;4;0;0;0;41;55;45
9362;Regensburg, Stadt;105974;81838;274;81564;0;14783;5687;8472;4145;19421;20590;3532;844;821;23;265;698;98;0;266;0;13;65;0;36;0;0;128;0;42;0;1043;37;0;14;0;0;23;0;0;0;156;93;269
9363;Weiden i.d.OPf., Stadt;31980;22837;133;22704;0;5587;2605;2027;711;2188;7200;1071;137;233;21;70;112;19;0;102;0;1;26;0;5;0;0;26;0;18;0;308;11;0;14;0;0;3;0;0;0;65;91;53
9371;Amberg-Sulzbach;81848;66496;362;66134;0;13993;7136;5287;1540;5472;22548;6272;367;780;58;255;462;53;0;362;0;12;83;0;12;0;0;50;0;38;0;914;35;0;50;0;0;13;0;0;0;93;180;69
9372;Cham;102196;80014;340;79674;0;12227;10991;5456;1346;4777;27268;14412;326;631;64;148;433;56;0;388;0;4;66;0;4;0;0;42;0;30;0;677;42;0;58;0;0;27;0;0;0;54;80;67
9373;Neumarkt i.d.OPf.;102090;84076;380;83696;0;12755;8218;7655;1882;8111;30797;8852;484;866;83;366;663;58;0;381;0;8;105;0;13;0;0;51;0;38;0;1728;50;0;40;0;0;9;0;0;0;119;203;161
9374;Neustadt a.d.Waldnaab;75653;61803;480;61323;0;13924;7137;4403;1186;4039;21753;5793;251;562;59;159;289;47;0;352;0;1;67;0;2;0;0;38;0;26;0;681;29;0;29;0;0;6;0;0;0;72;361;57
9375;Regensburg;147442;121372;512;120860;0;20406;12246;10671;2746;13022;42081;13594;666;1092;81;276;764;94;0;722;0;9;117;0;13;0;0;72;0;42;0;1528;49;0;44;0;0;30;0;0;0;180;155;160
9376;Schwandorf;115004;90670;448;90222;0;18356;11927;6824;1955;6053;30678;10194;431;834;94;207;558;106;0;464;0;5;104;0;7;0;0;52;0;45;0;816;48;0;39;0;0;54;0;0;0;106;168;97
9377;Tirschenreuth;58174;47607;278;47329;0;9950;5156;3171;933;2943;17498;5203;263;454;48;116;211;28;0;265;0;4;58;0;6;0;0;23;0;21;0;585;30;0;21;0;0;5;0;0;0;55;244;38
9461;Bamberg, Stadt;54912;42665;161;42504;0;8018;3302;4215;2244;9727;11057;1367;376;381;23;149;275;55;0;86;0;29;58;0;6;0;0;53;0;22;0;576;26;0;16;0;0;6;0;0;0;105;58;274
9462;Bayreuth, Stadt;55829;41508;208;41300;0;8995;3001;4836;1567;7720;11391;1495;378;409;25;142;204;47;0;51;0;3;59;0;8;0;0;78;0;33;0;441;52;0;11;0;0;12;0;0;0;98;54;190
9463;Coburg, Stadt;30790;23125;117;23008;0;5817;1809;2449;883;3667;6062;758;255;257;17;88;177;36;0;21;0;11;36;0;0;0;0;37;0;9;0;447;10;0;8;0;0;3;0;0;0;80;24;47
9464;Hof, Stadt;32359;23068;150;22918;0;5368;2587;2219;719;2269;7283;946;254;349;27;127;40;14;0;40;0;5;31;0;3;0;0;27;0;21;0;307;55;0;12;0;0;11;0;0;0;123;47;34
9471;Bamberg;116451;97229;416;96813;0;15557;12312;8899;2074;8734;36283;7512;704;979;115;351;420;73;0;389;0;29;155;0;10;0;0;71;0;45;0;1334;72;0;110;0;0;18;0;0;0;117;214;236
9472;Bayreuth;83947;68940;302;68638;0;14607;6662;5687;1312;6009;25396;5586;482;710;61;161;219;57;0;164;0;5;80;0;8;0;0;43;0;30;0;905;63;0;51;0;0;6;0;0;0;111;124;99
9473;Coburg;69320;55457;281;55176;0;14000;5997;4819;1319;4980;16985;3827;472;645;58;157;352;26;0;99;0;17;75;0;6;0;0;57;0;26;0;920;34;0;30;0;0;9;0;0;0;102;91;73
9474;Forchheim;91084;75969;308;75661;0;13118;6817;6983;1797;9491;27505;5669;527;823;64;254;351;65;0;200;0;11;91;0;11;0;0;89;0;29;0;1111;71;0;57;0;0;11;0;0;0;193;129;194
9475;Hof;76055;60714;314;60400;0;14495;6927;5021;1290;4387;20859;4056;663;795;75;148;171;35;0;123;0;7;86;0;7;0;0;42;0;25;0;638;165;0;66;0;0;12;0;0;0;156;105;46
